Частота, Гц;Амплитуда, дБ - w
0.1;-1.445070116205287
0.11000000000000001;-1.6958299722167458
0.12100000000000002;-1.9810796547902143
0.13310000000000002;-2.3029158878944633
0.14641000000000004;-2.662916708591079
0.16105100000000006;-3.0620374478958556
0.17715610000000007;-3.5005445450990473
0.1948717100000001;-3.977996657186077
0.2143588810000001;-4.493275847816925
0.23579476910000013;-5.044664278395009
0.25937424601000014;-5.629955581596436
0.28531167061100016;-6.246586375694676
0.3138428376721002;-6.891772718239037
0.3452271214393102;-7.562638324742711
0.37974983358324127;-8.256325098731951
0.41772481694156544;-8.97008077417302
0.45949729863572203;-9.701322312982711
0.5054470284992942;-10.447676580075726
0.5559917313492238;-11.20700158103099
0.6115909044841462;-11.977392315633018
0.6727499949325609;-12.75717533261698
0.740024994425817;-13.544895647523385
0.8140274938683988;-14.339299043315002
0.8954302432552388;-15.139312080424286
0.9849732675807628;-15.944021500757623
1.0834705943388392;-16.752654168327254
1.1918176537727232;-17.5645582619638
1.3109994191499956;-18.379186116918
1.4420993610649953;-19.19607888626553
1.586309297171495;-20.01485304108511
1.7449402268886445;-20.835188632393148
1.919434249577509;-21.656819182350247
2.11137767453526;-22.479523044946998
2.3225154419887866;-23.303116067814734
2.5547669861876656;-24.127445390102785
2.8102436848064323;-24.952384221645282
3.0912680532870755;-25.777827462578323
3.4003948586157833;-26.603688037964204
3.740434344477362;-27.429893837445224
4.114477778925099;-28.256385164657964
4.525925556817609;-29.08311261464126
4.97851811249937;-29.910035309567775
5.476369923749307;-30.737119433776886
6.024006916124239;-31.564337018336378
6.626407607736663;-32.39166493331565
7.28904836851033;-33.21908405274187
8.017953205361364;-34.04657856296801
8.8197485258975;-34.87413539004139
9.701723378487252;-35.701743725747114
10.671895716335978;-36.52939463542468
11.739085287969576;-37.357080733518934
12.912993816766535;-38.184795915214465
14.20429319844319;-39.01253513449143
15.624722518287511;-39.84029422059509
17.187194770116264;-40.66806972628575
18.905914247127892;-41.49585880237613
20.796505671840684;-42.32365909400972
22.876156239024755;-43.15146865491738
25.163771862927234;-43.97928587653925
27.68014904921996;-44.807109429437226
30.448163954141958;-45.634938214868114
33.492980349556156;-46.462771324756446
36.84227838451177;-47.29060800861073
40.52650622296295;-48.11844764617926
44.57915684525925;-48.94628972484991
49.03707252978518;-49.774133820971215
53.9407797827637;-50.60197958441455
59.33485776104007;-51.42982672581507
65.26834353714408;-52.257675006026645
71.7951778908585;-53.08552422740676
78.97469567994435;-53.91337422661373
86.87216524793878;-54.74122486865393
95.55938177273266;-55.56907604196199